Price,Surface,City,Housing_unit,city_size,macroregion,floor,num_rooms,surface_bracket
8500.0,250.0,Milano,Appartamento,big,north,3.0,6,large
1150.0,40.0,Milano,Monolocale,big,north,3.0,1,small
900.0,51.0,Milano,Bilocale,big,north,3.0,2,small
1550.0,55.0,Milano,Bilocale,big,north,3.0,2,small
920.0,45.0,Milano,Bilocale,big,north,3.0,2,small
2975.0,150.0,Milano,Quadrilocale,big,north,3.0,4,mid
2990.0,140.0,Milano,Quadrilocale,big,north,3.0,4,mid
1000.0,42.0,Milano,Bilocale,big,north,3.0,2,small
2350.0,110.0,Milano,Trilocale,big,north,3.0,3,mid
3325.0,105.0,Milano,Trilocale,big,north,3.0,3,mid
2500.0,45.0,Milano,Bilocale,big,north,3.0,2,small
2333.0,127.0,Milano,Trilocale,big,north,3.0,3,mid
1650.0,72.0,Milano,Bilocale,big,north,3.0,2,mid-small
1300.0,70.0,Milano,Bilocale,big,north,3.0,2,mid-small
2700.0,95.0,Milano,Trilocale,big,north,3.0,3,mid-small
1000.0,230.0,Milano,Attico,big,north,3.0,5,large
2300.0,75.0,Milano,Appartamento,big,north,3.0,5,mid-small
1890.0,100.0,Milano,Trilocale,big,north,3.0,3,mid
2300.0,135.0,Milano,Trilocale,big,north,3.0,3,mid
1534.0,46.0,Milano,Monolocale,big,north,3.0,1,small
1800.0,57.0,Milano,Bilocale,big,north,3.0,2,small
1200.0,60.0,Milano,Bilocale,big,north,3.0,2,small
2100.0,80.0,Milano,Trilocale,big,north,3.0,3,mid-small
8500.0,250.0,Milano,Appartamento,big,north,3.0,6,large
2950.0,93.0,Milano,Trilocale,big,north,3.0,3,mid-small
1200.0,47.0,Milano,Bilocale,big,north,3.0,2,small
3000.0,145.0,Milano,Trilocale,big,north,3.0,3,mid
2000.0,107.0,Milano,Trilocale,big,north,3.0,3,mid
1800.0,60.0,Milano,Trilocale,big,north,3.0,3,small
2500.0,90.0,Milano,Bilocale,big,north,3.0,2,mid-small
1250.0,45.0,Milano,Bilocale,big,north,3.0,2,small
2200.0,70.0,Milano,Trilocale,big,north,3.0,3,mid-small
6000.0,185.0,Milano,Appartamento,big,north,3.0,6,mid
1400.0,40.0,Milano,Bilocale,big,north,3.0,2,small
1600.0,50.0,Milano,Bilocale,big,north,3.0,2,small
5000.0,100.0,Milano,Appartamento,big,north,3.0,5,mid
4000.0,195.0,Milano,Quadrilocale,big,north,3.0,4,mid
1250.0,55.0,Milano,Bilocale,big,north,3.0,2,small
3000.0,100.0,Milano,Trilocale,big,north,3.0,3,mid
2916.0,76.0,Milano,Bilocale,big,north,3.0,2,mid-small
3333.0,77.0,Milano,Bilocale,big,north,3.0,2,mid-small
850.0,40.0,Milano,Monolocale,big,north,3.0,1,small
1850.0,50.0,Milano,Bilocale,big,north,3.0,2,small
2550.0,200.0,Milano,Appartamento,big,north,3.0,5,large
2500.0,90.0,Milano,Trilocale,big,north,3.0,3,mid-small
1700.0,55.0,Milano,Bilocale,big,north,3.0,2,small
1800.0,80.0,Milano,Bilocale,big,north,3.0,2,mid-small
1700.0,70.0,Milano,Trilocale,big,north,3.0,3,mid-small
2000.0,132.0,Milano,Trilocale,big,north,3.0,3,mid
1400.0,70.0,Milano,Bilocale,big,north,3.0,2,mid-small
